video_id,title,channel_name,published_at,caption_status,error
nbp3Whim4Ew,DET UENDELIGE HEJ,Rasmus Brohave,2013-01-19T15:46:44Z,generated_da,
pKurVkTswX8,DEN IDÈLØSE DRENG,Rasmus Brohave,2013-02-04T16:49:41Z,generated_da,
pr-LtgVFP9c,THE REVERSE BOY,Rasmus Brohave,2013-03-12T15:48:21Z,no_da,
An5guhj_qRw,FØDSELSDAGS PRANK,Rasmus Brohave,2013-03-18T19:39:16Z,generated_da,
_8jhsmXP9q0,What's on my iPhone?,Rasmus Brohave,2013-03-25T14:59:03Z,generated_da,
xhUCxxHRZxo,RANDOM VLOG,Rasmus Brohave,2013-04-14T17:02:36Z,generated_da,
8f12XzU3Yok,BOLLEÆG | Brohaves køkken,Rasmus Brohave,2013-05-14T19:07:46Z,generated_da,
SoPzsxjKiRM,RANDOM VLOG #2,Rasmus Brohave,2013-06-03T16:45:34Z,generated_da,
2V6qgZj4AVw,TØR DU?,Rasmus Brohave,2013-06-09T13:34:15Z,generated_da,
E2wsxZADAt0,INSTAGRAM?,Rasmus Brohave,2013-07-03T13:18:51Z,generated_da,
